srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<gatewayMac>,<deviceMac>,0x0800,audio-ak-spotify-com.akamaized.net,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,ajax.googleapis.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,apresolve.spotify.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,connectivitycheck.gstatic.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,www.gstatic.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,browser.sentry-cdn.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,8.8.8.8,*,1,*,*,1001,0,0
<gatewayMac>,<deviceMac>,0x0800,android.clients.google.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,10.0.150.1,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,connectivitycheck.gstatic.com,*,6,80,*,750,*,*
*,<deviceMac>,0x0800,*,*,6,*,42128,655,*,*
<deviceMac>,*,0x0800,*,*,6,8008,*,650,*,*
*,<deviceMac>,0x0800,*,*,6,*,8008,655,*,*
<deviceMac>,*,0x0800,*,*,6,8009,*,650,*,*
*,<deviceMac>,0x0800,*,*,6,*,8009,655,*,*
<deviceMac>,*,0x0800,*,*,6,42128,*,650,*,*
